instance_idx,loan_amnt,annual_inc,term,dti,fico,inq_last_6mths,open_acc,revol_util,pub_rec_bankruptcies,emp_len_years,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,risk_probability,actual_target
26,-0.6025997817522659,-0.963914140009494,1.4926114566824664,0.6820297746766079,-0.8013076004603714,-0.644045868635524,-1.0300342054213496,1.8460818721986947,-0.35007885627693935,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.53413504,0
27,0.09626515002808426,0.8558078750858257,-0.6699667187485197,-1.1180739309505605,0.011905438896179432,0.5218590347597042,-0.34033304005166903,0.09676381832146061,-0.35007885627693935,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.13946007,0
28,0.6786525931783761,1.7412734037816615,1.4926114566824664,0.18540952405663647,0.011905438896179432,1.6877639381549323,1.5563451647149527,1.0501836107190052,-0.35007885627693935,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.5907107,1
29,-0.3696448044921492,-0.5175672306464911,1.4926114566824664,1.5305674056892855,0.6624758703814201,0.5218590347597042,-0.34033304005166903,0.6356532661983336,-0.35007885627693935,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.58667684,1
30,-0.9345606243479323,-0.5266025931842038,-0.6699667187485197,0.4111460016111687,0.33719065463879977,2.8536688415501605,0.6942187080028519,-1.4618702770762644,2.274200426158888,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.14824492,0
31,1.1445625476986097,0.5666762738790222,1.4926114566824664,-0.47212031825605255,0.6624758703814201,-0.644045868635524,-0.16790774870924885,-0.023449981589534374,-0.35007885627693935,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.46135,1
32,1.7269499908489014,1.8316270291587877,-0.6699667187485197,-0.7985699934887607,0.011905438896179432,-0.644045868635524,-1.2024594967637698,1.7134321619520796,-0.35007885627693935,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.17201129,0
33,1.7269499908489014,-0.1561527291379867,-0.6699667187485197,-0.9687405688760236,-0.4760223847177511,-0.644045868635524,0.004517542633171293,1.037747700383385,-0.35007885627693935,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.16587287,0
34,0.21274263865814264,-0.37300143004308933,-0.6699667187485197,0.240975426223906,1.6383315176092812,-0.644045868635524,0.3493681253180116,-1.030758718774766,-0.35007885627693935,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.15309522,0
35,-0.13668982723203246,-0.6802037563253182,-0.6699667187485197,-0.19776367630515929,-1.1265928162029917,0.5218590347597042,0.004517542633171293,1.2242863554176873,-0.35007885627693935,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.18440701,0
36,-1.2577856552963442,-0.6621330312498929,-0.6699667187485197,-0.7661565505578535,-0.6386649925890613,0.5218590347597042,-0.6851836227365093,-0.8027670292883967,-0.35007885627693935,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.18601693,0
37,-0.13668982723203246,-0.1561527291379867,-0.6699667187485197,0.7538023983093307,-1.1265928162029917,-0.644045868635524,0.17694283397559143,-0.33434773998003803,-0.35007885627693935,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.15017499,0
38,-0.5793042840262542,-0.12001127898713625,-0.6699667187485197,-0.4119239242415104,1.8009741254805913,-0.644045868635524,0.6942187080028519,-1.1261006980145205,-0.35007885627693935,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.12585686,0
39,0.09626515002808426,0.38596902312476994,-0.6699667187485197,-0.3528851531887866,-1.1265928162029917,0.5218590347597042,1.0390692906876922,1.0874913417258651,-0.35007885627693935,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.14942467,0
40,-0.020212338601974106,-0.33685997989223887,1.4926114566824664,0.9980608432529527,-0.6386649925890613,0.5218590347597042,1.728770456057373,-0.3053306158635909,-0.35007885627693935,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6411246,0
41,0.09626515002808426,0.38596902312476994,-0.6699667187485197,-0.9479033555632975,-0.4760223847177511,-0.644045868635524,-0.34033304005166903,-0.6162283742540945,-0.35007885627693935,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.14683758,0
42,1.1445625476986097,0.0064837965408403074,1.4926114566824664,0.3405310009402638,-1.1265928162029917,0.5218590347597042,-1.0300342054213496,1.6512526102739788,-0.35007885627693935,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.6378021,1
43,-1.231578220354581,-0.5537086807973416,-0.6699667187485197,-0.6365027788342248,0.011905438896179432,-0.644045868635524,-1.0300342054213496,-2.004905028398344,-0.35007885627693935,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.14461096,0
44,-0.8355547590123827,0.8558078750858257,-0.6699667187485197,-0.9895777821887496,-0.6386649925890613,-0.644045868635524,-0.16790774870924885,1.0626195210546252,-0.35007885627693935,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.17111419,0
45,0.329220127288201,0.2775446726722186,-0.6699667187485197,0.1807790322093641,-0.4760223847177511,-0.644045868635524,-0.8576089140789295,-1.0680664497816263,-0.35007885627693935,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.14175184,0
46,-0.8355547590123827,-0.427213605269365,-0.6699667187485197,-0.18734506964879627,0.8251184782527303,-0.644045868635524,0.6942187080028519,-1.5157592218639515,2.274200426158888,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.17592753,0
47,0.722331651414648,-0.14952005020630274,1.4926114566824664,0.3335852631693552,-0.8013076004603714,0.5218590347597042,-0.6851836227365093,1.3610813691095087,-0.35007885627693935,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.6402675,1
48,-0.020212338601974106,-0.7344159315515938,-0.6699667187485197,1.514360684223832,0.011905438896179432,-0.644045868635524,-1.3748847881061899,1.439842134568436,-0.35007885627693935,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.18567741,0
49,-0.8937935033274119,-0.30071852974138846,-0.6699667187485197,-1.1701669642323755,0.1745480467674896,-0.644045868635524,-1.0300342054213496,-1.3706736012817164,-0.35007885627693935,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1475513,0
50,0.6786525931783761,-0.2465063545151128,-0.6699667187485197,0.8637765796820515,0.8251184782527303,0.5218590347597042,-0.34033304005166903,-0.6411001949253349,-0.35007885627693935,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.14563657,0
51,0.21274263865814264,-0.5175672306464911,1.4926114566824664,-0.22901949627424834,3.264757596322383,0.5218590347597042,0.004517542633171293,-2.067084580076445,-0.35007885627693935,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.40544063,0
52,0.09626515002808426,-0.46335505542021543,-0.6699667187485197,0.5604793636857058,0.49983326251010995,-0.644045868635524,0.004517542633171293,-0.404817898548552,-0.35007885627693935,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.13650733,0
53,1.945345282030261,1.7412734037816615,-0.6699667187485197,-0.4512831049433263,1.475688909737971,-0.644045868635524,-0.6851836227365093,0.279157169910556,-0.35007885627693935,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.24133107,0
54,-0.020212338601974106,-0.5157601581389486,1.4926114566824664,0.2664431313839044,-0.9639502083316815,-0.644045868635524,0.6942187080028519,0.6232173558627135,2.274200426158888,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5740036,0
55,-0.6025997817522659,-0.6935399514309819,-0.6699667187485197,-0.24869908662515647,0.6624758703814201,-0.644045868635524,-0.16790774870924885,-0.9851603808774921,-0.35007885627693935,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.12289814,0
56,-1.4761809464777038,-1.095830433060098,-0.6699667187485197,0.6426705939747916,-1.1265928162029917,0.5218590347597042,-1.0300342054213496,1.4108250104519895,-0.35007885627693935,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.20138068,0
57,-1.4878286953407096,-0.6440623061744677,-0.6699667187485197,-1.255831063406916,-0.15073716897513073,-0.644045868635524,1.2114945820301124,-0.4545615398910327,-0.35007885627693935,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.1537023,0
58,-0.3696448044921492,-0.5537086807973416,-0.6699667187485197,-0.6885958121160398,-0.9639502083316815,-0.644045868635524,1.0390692906876922,-1.2628957117063422,-0.35007885627693935,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.18222994,0
59,-0.9520322476424411,-0.5356379557219163,-0.6699667187485197,-0.9004408141287548,1.9636167333519015,-0.644045868635524,-0.8576089140789295,-0.607937767363681,-0.35007885627693935,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.15620004,0
60,0.5417915440380575,-0.22843562943968757,1.4926114566824664,0.6785569057911535,0.1745480467674896,-0.644045868635524,-0.8576089140789295,-1.0514852360007996,-0.35007885627693935,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.50804543,0
61,-0.6025997817522659,-0.8789817321549955,1.4926114566824664,2.164944788765612,-0.15073716897513073,-0.644045868635524,0.004517542633171293,0.3164649009174164,-0.35007885627693935,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.65024674,0
62,1.1445625476986097,0.20526177237051774,-0.6699667187485197,-0.36098851392151343,0.011905438896179432,-0.644045868635524,-1.0300342054213496,1.7424492860685268,-0.35007885627693935,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1519759,1
63,0.329220127288201,0.7654542497086996,-0.6699667187485197,-0.42118490793605534,-0.9639502083316815,-0.644045868635524,0.004517542633171293,1.0294570934929717,-0.35007885627693935,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15076983,0
64,0.2768052574046747,-0.7163452064761685,1.4926114566824664,-0.8703426171214839,-0.9639502083316815,1.6877639381549323,-0.8576089140789295,0.6895422109860208,-0.35007885627693935,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.6433752,1
65,-0.8355547590123827,0.11490814699339164,-0.6699667187485197,2.2668156094056062,0.33719065463879977,-0.644045868635524,0.6942187080028519,0.8636449556847029,-0.35007885627693935,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1773157,0
66,-1.301464713532616,0.11490814699339164,-0.6699667187485197,0.08816919526391485,0.33719065463879977,-0.644045868635524,0.17694283397559143,1.427406224232816,-0.35007885627693935,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.15904665,0
67,1.7269499908489014,-0.1561527291379867,-0.6699667187485197,-0.6955415498869486,-0.6386649925890613,-0.644045868635524,0.5217934166604318,-0.39238198821293196,4.898479708594715,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.21555422,0
68,1.7269499908489014,1.9219806545359137,-0.6699667187485197,-1.356544261085092,-0.15073716897513073,1.6877639381549323,0.004517542633171293,0.20454170789683496,-0.35007885627693935,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.156428,0
69,-0.020212338601974106,-0.011586928534584914,1.4926114566824664,1.5884485537801913,-1.1265928162029917,-0.644045868635524,0.6942187080028519,1.3445001553286817,-0.35007885627693935,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6322508,0
70,-0.020212338601974106,-0.7253805690138811,1.4926114566824664,1.582660438971101,-1.1265928162029917,1.6877639381549323,-0.34033304005166903,0.8097560108970158,2.274200426158888,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.6270667,0
71,0.5621751045483178,0.5016216636074914,-0.6699667187485197,0.7098127257602425,0.011905438896179432,0.5218590347597042,0.3493681253180116,-1.980033207727104,-0.35007885627693935,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.14048702,0
72,-0.7190772703823243,-0.5717794058727668,-0.6699667187485197,-1.1979499153160102,-0.6386649925890613,-0.644045868635524,0.004517542633171293,-1.105374180788487,-0.35007885627693935,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.14537598,0
73,-0.3696448044921492,-0.6440623061744677,1.4926114566824664,-0.03453883868880513,2.7768297727084525,0.5218590347597042,0.004517542633171293,-1.8142210699188352,-0.35007885627693935,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4385919,0
74,-0.18036888546830437,-0.510338940616321,-0.6699667187485197,2.0549706073928915,-0.9639502083316815,-0.644045868635524,-0.5127583313940892,0.33719141814345,4.898479708594715,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1319402,0
75,1.7153022419858956,-0.2465063545151128,-0.6699667187485197,-0.810146223106942,3.7526854199363133,-0.644045868635524,-0.34033304005166903,-1.747896214795528,-0.35007885627693935,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.113691375,0
76,-1.0685097362724993,-0.7322474445425428,-0.6699667187485197,0.03144567013482743,0.8251184782527303,-0.644045868635524,0.17694283397559143,-1.4411437598502308,-0.35007885627693935,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.13889818,0
77,0.329220127288201,-0.011586928534584914,1.4926114566824664,-0.4281306457069641,-1.1265928162029917,1.6877639381549323,0.3493681253180116,-0.7447327810555028,2.274200426158888,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.60519904,0
78,-1.1849872249025577,-0.6982744814007433,-0.6699667187485197,1.211063468227486,-0.8013076004603714,-0.644045868635524,-0.6851836227365093,1.4066797070067825,-0.35007885627693935,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.17526223,0
79,0.25933363411016597,0.9047976107653035,1.4926114566824664,0.2178229669875438,0.1745480467674896,1.6877639381549323,0.6942187080028519,-0.2224245469594566,2.274200426158888,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.51115376,0
80,0.329220127288201,1.2895052768960311,-0.6699667187485197,-0.4501254819815082,-0.9639502083316815,-0.644045868635524,0.3493681253180116,0.29573838369138283,-0.35007885627693935,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.14391938,0
81,-1.4179422021626746,-0.4091428801939398,-0.6699667187485197,-1.416740655099634,0.33719065463879977,-0.644045868635524,1.0390692906876922,-0.40067259510334524,-0.35007885627693935,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.11057646,0
82,-1.1849872249025577,-0.5988854934859046,-0.6699667187485197,-2.0337536937486886,-0.3133797768464409,-0.644045868635524,0.3493681253180116,-0.16439029872656263,-0.35007885627693935,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.15506755,0
83,2.3093374339991937,0.7473835246332744,1.4926114566824664,1.282836091860209,0.8251184782527303,-0.644045868635524,-0.6851836227365093,0.9424057211436302,-0.35007885627693935,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.49903637,0
84,0.3379559389354554,-0.5363607847249333,1.4926114566824664,1.5062573234911052,-1.1265928162029917,-0.644045868635524,1.0390692906876922,-0.8193482430692235,2.274200426158888,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.6350917,1
85,-0.8355547590123827,0.29561539774764384,-0.6699667187485197,-0.6469213854905878,-0.9639502083316815,-0.644045868635524,-0.5127583313940892,-0.07319362293201478,-0.35007885627693935,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15642197,0
86,-0.020212338601974106,1.5161121693418633,-0.6699667187485197,-0.17924170891606944,0.33719065463879977,-0.644045868635524,0.6942187080028519,0.059456087314599934,-0.35007885627693935,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1397947,0
87,2.3093374339991937,0.024554521616265527,-0.6699667187485197,1.2538955178147562,1.1504036939953506,0.5218590347597042,0.3493681253180116,0.6978328178764344,-0.35007885627693935,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1593738,0
88,-1.1849872249025577,-0.01700814605721248,-0.6699667187485197,-1.913360905719605,-1.1265928162029917,-0.644045868635524,-0.34033304005166903,-1.4204172426241972,2.274200426158888,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.13874552,0
89,-1.2024588481970666,-0.8789817321549955,-0.6699667187485197,-0.0993657245506194,-0.8013076004603714,0.5218590347597042,-0.8576089140789295,-0.259732277966317,-0.35007885627693935,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1566854,0
90,2.3093374339991937,0.024554521616265527,-0.6699667187485197,-0.26722105401424634,0.6624758703814201,0.5218590347597042,-1.54731007944861,-0.16024499528135586,-0.35007885627693935,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.1592609,0
91,-1.4878286953407096,-0.46335505542021543,-0.6699667187485197,-0.10862670824516453,-1.1265928162029917,-0.644045868635524,0.5217934166604318,1.2035598381916537,-0.35007885627693935,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.1598277,0
92,-1.1267484805875285,-0.36396606750537674,-0.6699667187485197,-0.841402043076031,-0.6386649925890613,0.5218590347597042,-1.3748847881061899,1.850227175643901,-0.35007885627693935,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.17615835,0
93,-0.09009883178000913,0.7473835246332744,1.4926114566824664,-1.3588595070087282,0.49983326251010995,-0.644045868635524,-0.5127583313940892,-0.873237187856911,-0.35007885627693935,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4292216,0
94,-0.020212338601974106,0.11490814699339164,1.4926114566824664,-0.40960867831787423,-0.15073716897513073,-0.644045868635524,-0.34033304005166903,-1.8971271388229696,2.274200426158888,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.45009926,1
95,0.12538452218559887,1.3979296273485824,1.4926114566824664,-1.0208336021578386,-0.3133797768464409,1.6877639381549323,-0.34033304005166903,0.24184943890369565,2.274200426158888,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.53920907,0
96,1.4939950135887847,0.11490814699339164,1.4926114566824664,-0.09820810158880151,-0.9639502083316815,-0.644045868635524,0.004517542633171293,-0.3716554709868984,-0.35007885627693935,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.658088,0
97,0.329220127288201,0.04262524669169075,1.4926114566824664,-0.7557379439014905,-0.9639502083316815,4.019573744945388,1.0390692906876922,-1.4204172426241972,2.274200426158888,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.54875606,0
98,-1.1849872249025577,0.2775446726722186,-0.6699667187485197,-0.21512802073243084,-0.9639502083316815,0.5218590347597042,0.17694283397559143,-0.682553229377402,-0.35007885627693935,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.11792703,0
99,0.2709813829731718,1.0184444007646527,-0.6699667187485197,-0.056533674963349455,-0.9639502083316815,-0.644045868635524,-0.16790774870924885,1.008730576266938,-0.35007885627693935,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.14744447,0
100,2.3093374339991937,3.2772850351928056,1.4926114566824664,0.46439665785480205,0.1745480467674896,-0.644045868635524,0.3493681253180116,0.9050979901367701,-0.35007885627693935,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.48487157,1
101,-0.9287367499164294,-0.5175672306464911,-0.6699667187485197,1.5050997005292872,-0.9639502083316815,-0.644045868635524,2.5908969127694736,-1.0390493256651794,-0.35007885627693935,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.20196906,0
102,-0.6025997817522659,-0.4994965055710659,-0.6699667187485197,1.6648516692601865,1.475688909737971,0.5218590347597042,3.108172786796734,-1.1095194842336935,-0.35007885627693935,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.16646604,0
103,-0.35799705562914336,-0.5537086807973416,1.4926114566824664,0.33242764020753696,-1.1265928162029917,0.5218590347597042,0.17694283397559143,0.5237300731777521,2.274200426158888,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.6300825,0
104,-1.1849872249025577,0.5305348237281717,-0.6699667187485197,-0.2799549065942455,-0.15073716897513073,-0.644045868635524,-0.5127583313940892,-0.19340742284300946,-0.35007885627693935,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.16559123,0
105,-0.8355547590123827,-0.37300143004308933,-0.6699667187485197,1.2608412555856652,0.49983326251010995,-0.644045868635524,0.004517542633171293,0.30817429402700286,-0.35007885627693935,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.15961365,0
